ID;Categoria;Titolo Attività;Descrizione Dettagliata;Gruppo o Ruolo
51;Operations & Maintenance;AIOps - Auto-Remediation Incidenti;Sviluppo di flussi automatizzati in cui l'agente AI analizza un ticket di incidente, identifica la soluzione documentata (Knowledge Base) ed esegue lo script di risoluzione (es. riavvio servizio, pulizia temp) in totale autonomia, chiedendo conferma solo per casi critici.;IT Support Level 3
52;Provisioning & Automation;Sviluppo Codice Terraform (IaC);Scrittura di codice dichiarativo Terraform per il provisioning automatizzato e ripetibile di risorse cloud (VPC, EC2, RDS, IAM Roles). Creazione di moduli riutilizzabili e gestione sicura dei tfstate.;DevOps Engineer
53;Provisioning & Automation;Sviluppo Script Ansible (Configuration Management);Creazione di playbook e ruoli Ansible per l'automazione della configurazione post-provisioning dei sistemi operativi. Installazione di pacchetti, hardening di base, deploy di agenti di monitoraggio e gestione utenti locali.;Automation Engineer
54;Provisioning & Automation;Automazione Pipeline CI/CD Infrastrutturali;Progettazione e implementazione di pipeline (es. GitHub Actions, GitLab CI, Azure DevOps) per la validazione automatica (linting, tfsec), l'approvazione e il rilascio sicuro in produzione delle modifiche al codice IaC.;DevOps Engineer
55;Provisioning & Automation;Creazione Immagini Standard (Golden Image);Sviluppo automatizzato (es. tramite Packer) di immagini pre-configurate e sicure per macchine virtuali o container, contenenti il SO base, le patch critiche, le policy aziendali e gli strumenti di sicurezza standard (EDR/XDR).;System Administrator
56;Provisioning & Automation;Containerizzazione Applicazioni Legacy;Analisi delle dipendenze di un'applicazione tradizionale e scrittura di Dockerfile ottimizzati per convertirla in microservizi. Creazione dei manifest YAML o Helm Chart per il deployment su cluster Kubernetes.;DevOps Engineer
57;Provisioning & Automation;Implementazione GitOps (ArgoCD/Flux);Configurazione di un paradigma GitOps in cui il repository Git diventa l'unica fonte di verità per lo stato del cluster Kubernetes. Automazione della sincronizzazione continua tra codice e ambiente live senza interventi manuali.;Cloud Native Engineer
58;Provisioning & Automation;Integrazione Webhook Sistemi ITSM;Sviluppo di script e flussi di automazione per integrare i sistemi di monitoraggio infrastrutturale (es. Zabbix) direttamente con il sistema di ticketing aziendale (es. ServiceNow), creando e chiudendo automaticamente i ticket in base agli allarmi.;Automation Engineer
59;Provisioning & Automation;Automazione Provisioning tramite API;Sviluppo di script (es. Python/Bash) interfacciati direttamente alle API dei vendor per automatizzare operazioni infrastrutturali non nativamente supportate da Terraform o Ansible.;Automation Engineer
60;Provisioning & Automation;Integrazione ChatOps;Configurazione di bot integrati nelle piattaforme di chat aziendale (Teams, Slack) per permettere agli amministratori di interrogare lo stato dei sistemi, riavviare servizi o lanciare job di deploy direttamente da riga di comando conversazionale.;DevOps Engineer
61;Security & Compliance;Hardening Sistemi Operativi;Applicazione rigorosa di configurazioni di sicurezza secondo standard internazionali (es. CIS Benchmarks). Disabilitazione di servizi inutili, restrizione dei permessi file, configurazione audit logging e policy password.;Security Engineer
62;Security & Compliance;Vulnerability Assessment e Remediation;Analisi dei report generati dai tool di scansione vulnerabilità (es. Nessus, Qualys). Classificazione dei rischi reali nel contesto dell'infrastruttura cliente e applicazione tempestiva dei workaround o delle patch correttive.;Security Analyst
63;Security & Compliance;Implementazione Crittografia Dati;Progettazione e configurazione di soluzioni per la cifratura dei dati "a riposo" (su dischi, bucket storage, database) e "in transito" (TLS 1.3), inclusa la gestione sicura del ciclo di vita delle chiavi KMS aziendali.;Security Architect
64;Security & Compliance;Identity and Access Management (IAM);Progettazione e implementazione di ruoli, gruppi e policy IAM basate sul principio del minimo privilegio (PoLP). Integrazione di sistemi di Single Sign-On (SSO) e Multi-Factor Authentication (MFA) per accessi admin.;IAM Specialist
65;Security & Compliance;Supporto Tecnico ad Audit di Sicurezza;Partecipazione attiva alle sessioni di audit interni o esterni (es. ISO 27001, PCI-DSS). Estrazione tempestiva di log di sistema, evidenze di configurazione e reportistica di patching per dimostrare la conformità ai framework normativi.;Compliance Officer
66;Security & Compliance;Implementazione Zero Trust Network Access (ZTNA);Sostituzione delle tradizionali VPN con architetture ZTNA per l'accesso remoto sicuro. Configurazione di identity-aware proxies, verifica della postura dei device e micro-segmentazione degli accessi applicativi.;Security Architect
67;Security & Compliance;Design Architettura SIEM/SOAR;Progettazione della raccolta, normalizzazione e analisi dei log di sicurezza attraverso un SIEM (es. Splunk, Microsoft Sentinel). Definizione dei playbook automatizzati nel SOAR per la risposta autonoma agli incidenti di sicurezza.;Security Engineer
68;Testing & QA;Scrittura Piani di Test Non Funzionali;Progettazione e stesura dei casi di test relativi alla resilienza dell'infrastruttura (scalabilità, failover, ripristino da backup, tolleranza ai guasti di zona). Definizione precisa delle metriche di successo e dei criteri di accettazione.;QA Infrastructure Specialist
69;Testing & QA;Esecuzione Chaos Engineering;Esecuzione controllata di test distruttivi (spegnimento server, simulazione di latenza di rete, drop di pacchetti) per validare empiricamente che i meccanismi di auto-healing e HA dell'infrastruttura reagiscano come progettato.;Site Reliability Engineer
70;Testing & QA;Esecuzione Performance e Stress Test;Realizzazione di test di carico simulando traffico massivo verso gli endpoint applicativi. Misurazione dei tempi di risposta, saturazione delle risorse infrastrutturali e individuazione del punto di rottura (stress test) prima del go-live.;Performance Tester
71;Testing & QA;Validazione Integrità Dati Post-Migrazione;Sviluppo ed esecuzione di script complessi per la quadratura automatica dei record e delle strutture dati a seguito di migrazioni di storage o database, certificando che nessuna informazione sia stata persa o corrotta nel processo.;Data Engineer
72;Testing & QA;Automazione Test Sicurezza (DevSecOps);Integrazione di tool SAST (Static Application Security Testing), DAST (Dynamic) e scanner di vulnerabilità per container all'interno delle pipeline di CI/CD, bloccando i rilasci non sicuri.;DevSecOps Engineer
73;Testing & QA;Generazione Automatica Dati Sintetici;Utilizzo di modelli generativi per creare dataset sintetici realistici e coerenti dal punto di vista relazionale, da utilizzare in ambienti di test e sviluppo, eliminando del tutto la necessità di copiare dati di produzione (Zero-Trust Data).;Data Engineer
74;Assessment & Analysis;Automazione del Controllo Documentale;Introduzione di tool AI (LLM) per l'analisi automatica della documentazione tecnica, finalizzata alla valutazione dell'aderenza ai requisiti minimi e all'assegnazione di un rating di conformità basato su criteri oggettivi. Include la verifica automatica di elementi chiave (monitoraggio, backup, sicurezza) al fine di aumentare l'efficacia, l'affidabilità e la rapidità dei controlli. Questa soluzione (Soluzione 1: Alta fattibilità | Valore immediato) garantisce una significativa riduzione dei tempi di review, uniformità e tracciabilità delle valutazioni, e una migliore qualità decisionale, riducendo l'effort manuale e i rischi operativi a fronte di un investimento contenuto con rapido ritorno.;Compliance Officer
